"","Study#","Virus strain","number of samples","Virus dose/note","NHP ID","Time point post challenge","sr_group","sr_group_time","sr_group_dose","sr_info","ag_name","Titer","Titer_thresh1","Titer_thresh20"
"46","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","KZ.1.1.1","*","*","*"
"47","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Wuhan","57.537311100229999","57.537311100229999","57.537311100229999"
"48","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Alpha","121.075227005944","121.075227005944","121.075227005944"
"49","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Beta","19.565083317227799","19.565083317227799","<20"
"50","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Delta","57.231192522210101","57.231192522210101","57.231192522210101"
"51","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","BA.1","5.1490120793501202","5.1490120793501202","<20"
"52","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","BA.2","6.4498537198409496","6.4498537198409496","<20"
"53","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","BA.2.12.1","6.1903161901014698","6.1903161901014698","<20"
"54","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","BA.5","10.2843111114277","10.2843111114277","<20"
"55","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","BQ.1.1","18.247367719417401","18.247367719417401","<20"
"56","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","CH.1.1","3.7212690734006699","3.7212690734006699","<20"
"57","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","XBB.1","21.133980897065001","21.133980897065001","21.133980897065001"
"58","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","XBB.1.5","21.808401998414698","21.808401998414698","21.808401998414698"
"59","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","XBC.1.6","10.1467501306335","10.1467501306335","<20"
"60","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","FL.1.5.1","10.7486208887684","10.7486208887684","<20"
