"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"35","alpha conv.","alpha","XBB.1.5",-4.54874289698294,-7.49062803594162,-2.6183213256739
"36","alpha conv.","alpha","XBC.1.6",-4.69109739866654,-7.40951319762033,-2.76584123611956
"37","alpha conv.","alpha","FL.1.5.1",-4.65953105029094,-7.51752603408855,-2.80512393817638
"38","alpha conv.","alpha","DV.7.1",-5.11621082832704,-9.40526998631564,-2.93370817359567
"39","alpha conv.","alpha","HV.1",-6.53490769996499,-27.6232972651037,-3.34055046077318
"40","alpha conv.","alpha","HK.3",-5.15690130864534,-9.05865887932437,-3.06639268516161
"41","alpha conv.","alpha","BA.2.86",-11.4913008411487,-200.747089393024,-6.61578895976531
"42","alpha conv.","alpha","EG.5.1",-4.510755277475,-7.52899463806614,-2.33386690903592
"43","alpha conv.","alpha","JN.1",-11.4913008411487,-199.680101089273,-6.93219551293662
"44","alpha conv.","alpha","KP.2",-6.27104203254975,-22.2255154249906,-4.18731708037779
"45","alpha conv.","alpha","KP.3",-11.4913008411487,-198.000778675385,-6.1200063346992
"46","alpha conv.","alpha","KZ.1.1.1",-11.4913008411487,-203.658944991462,-7.38796096482002
"47","beta conv.","beta","Wuhan",-1.69385185196289,-2.37115016198125,-1.18332689910186
"48","beta conv.","beta","Alpha",-0.256037998314088,-0.819838867605573,0.30614181447347
"49","beta conv.","beta","Beta",0,-0.263328610970793,0.234373418376668
"50","beta conv.","beta","Delta",-1.13939662438566,-2.3013385570856,0.027583437425069
"51","beta conv.","beta","BA.1",-2.87722649614712,-4.35522014709659,-1.97112324394391
"52","beta conv.","beta","BA.2",-2.56795609063867,-4.04131658231436,-1.64676662812981
"53","beta conv.","beta","BA.2.12.1",-3.01172921546018,-5.47069175361069,-1.60954740947676
"54","beta conv.","beta","BA.5",-4.72369249590693,-16.410466367667,-2.59266704079665
"55","beta conv.","beta","BQ.1.1",-2.91698704966029,-4.62572023532906,-1.89031901619074
"56","beta conv.","beta","CH.1.1",-4.19248663976824,-10.5117895427706,-2.75499748781047
"57","beta conv.","beta","XBB.1",-3.50805938245289,-5.09292451997023,-2.73100205019289
"58","beta conv.","beta","XBB.1.5",-5.00538749404934,-22.5450775904405,-3.29900413264529
"59","beta conv.","beta","XBC.1.6",-4.42721705526299,-13.0401206003236,-2.80715434880901
"60","beta conv.","beta","FL.1.5.1",-4.23137596592223,-9.72928230550031,-2.8741469704133
"61","beta conv.","beta","DV.7.1",-4.36943333069451,-12.1778203531376,-2.6832872868401
"62","beta conv.","beta","HV.1",-5.03540744692202,-21.8799968424018,-3.23615270003356
"63","beta conv.","beta","HK.3",-10.0982434659433,-204.765917158542,-6.14823432293628
"64","beta conv.","beta","BA.2.86",-10.0982434659433,-202.579721759844,-6.35227551034427
"65","beta conv.","beta","EG.5.1",-4.30330288175417,-12.195250166016,-2.78107598237953
"66","beta conv.","beta","JN.1",-10.0982434659433,-199.96086770934,-5.61486954928026
"67","beta conv.","beta","KP.2",-5.07088969774686,-21.7686879508444,-3.28897589086498
"68","beta conv.","beta","KP.3",-10.0982434659433,-203.811593636984,-6.17672241520026
"69","beta conv.","beta","KZ.1.1.1",-10.0982434659433,-199.602192882292,-5.63719201710962
"70","delta conv.","delta","Wuhan",-1.24371820648979,-1.89749944603385,-0.64587131509393
"71","delta conv.","delta","Alpha",-0.284096865185113,-0.783692662920239,0.224177391901557
"72","delta conv.","delta","Beta",-1.67860695480787,-2.27177929636616,-1.22706076773891
"73","delta conv.","delta","Delta",0,-0.158548388470375,0.162412565337473
"74","delta conv.","delta","BA.1",-3.13928400139895,-4.81022701836056,-2.27764692955403
"75","delta conv.","delta","BA.2",-3.19948600126804,-5.30887831757085,-2.20241492306984
"76","delta conv.","delta","BA.2.12.1",-4.76201903575804,-10.762904073403,-3.48231992535018
"77","delta conv.","delta","BA.5",-3.46093017296547,-4.65574204566063,-2.74969087630883
"78","delta conv.","delta","BQ.1.1",-4.09187667676746,-7.62579489583061,-2.85900527240815
"79","delta conv.","delta","CH.1.1",-10.6572978450613,-199.172196491454,-6.87701060988728
"80","delta conv.","delta","XBB.1",-5.53681705478591,-25.2973852805641,-3.66196229798154
"81","delta conv.","delta","XBB.1.5",-3.18652761085549,-3.96483939157216,-2.64255652081166
"82","delta conv.","delta","XBC.1.6",-10.6572978450613,-203.590928588322,-6.49632265771818
"83","delta conv.","delta","FL.1.5.1",-4.33434744842394,-8.05651523761864,-3.11413550347544
"84","delta conv.","delta","DV.7.1",-10.6572978450613,-198.716023689681,-6.45114227801684
"85","delta conv.","delta","HV.1",-10.6572978450613,-198.522413555016,-6.17237792573607
"86","delta conv.","delta","HK.3",-10.6572978450613,-201.149761268235,-6.60221649509329
"87","delta conv.","delta","BA.2.86",-10.6572978450613,-202.87133162573,-7.28673463825183
"88","delta conv.","delta","EG.5.1",-6.3304167128912,-40.8547850042266,-3.509626102041
"89","delta conv.","delta","JN.1",-10.6572978450613,-199.135609268372,-6.76513553444578
"90","delta conv.","delta","KP.2",-5.50196638328275,-23.9179231678709,-3.66632939080235
"91","delta conv.","delta","KP.3",-10.6572978450613,-202.491856609629,-6.66754895883601
"92","delta conv.","delta","KZ.1.1.1",-10.6572978450613,-199.404851991279,-6.12365886161288
"93","BA.1 conv.","ba.1","Wuhan",-3.86003212918371,-6.77219113361182,-2.37688691668504
"94","BA.1 conv.","ba.1","Alpha",-2.42519898010704,-3.80740907914073,-1.21152950286486
"95","BA.1 conv.","ba.1","Beta",-2.41124512722285,-3.75677265801574,-1.14824084095665
"96","BA.1 conv.","ba.1","Delta",-2.43034480109506,-3.82357978309948,-1.21043526895155
"97","BA.1 conv.","ba.1","BA.1",0,-0.271910976913734,0.298105857492571
"98","BA.1 conv.","ba.1","BA.2",-0.880630395556198,-1.42242585546111,-0.35145594761852
"99","BA.1 conv.","ba.1","BA.2.12.1",-1.9034266946064,-2.75403323013255,-1.1192748423513
"100","BA.1 conv.","ba.1","BA.5",-3.58104645526741,-5.30826253387392,-2.52429143121074
