"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"75","delta conv.","delta","BQ.1.1",-4.09187667676746,-7.49711747930181,-2.91445917148613
"76","delta conv.","delta","XBB.1",-5.53681705478591,-25.989344961833,-3.50180285543889
"77","delta conv.","delta","XBB.1.5",-3.18652761085549,-3.92831997019278,-2.62466450795346
"78","delta conv.","delta","XBC.1.6",-10.6572978450613,-197.77655583642,-6.33498603804012
"79","delta conv.","delta","FL.1.5.1",-4.33434744842394,-8.09245610005117,-3.22628187503419
"80","delta conv.","delta","DV.7.1",-10.6572978450613,-201.254875623553,-6.74198871001129
"81","delta conv.","delta","HV.1",-10.6572978450613,-193.862655475809,-6.30974441650984
"82","delta conv.","delta","HK.3",-10.6572978450613,-197.794419418349,-7.0949437797731
"83","delta conv.","delta","BA.2.86",-10.6572978450613,-201.412154127999,-6.69609048026863
"84","delta conv.","delta","EG.5.1",-6.3304167128912,-39.4601265673693,-3.82737863259136
"85","delta conv.","delta","JN.1",-10.6572978450613,-201.791734581294,-6.77045252609587
"86","delta conv.","delta","KP.2",-5.50196638328275,-23.7160427616943,-3.68636147498607
"87","delta conv.","delta","KP.3",-10.6572978450613,-197.201641784285,-6.39738951222091
"88","delta conv.","delta","KZ.1.1.1",-10.6572978450613,-196.762234396154,-6.36228996496282
"89","BA.1 conv.","ba.1","Wuhan",-3.86003212918371,-6.64927162936011,-2.33699617471173
"90","BA.1 conv.","ba.1","Alpha",-3.21489916529894,-4.63528614694532,-1.9950279290922
"91","BA.1 conv.","ba.1","Beta",-2.41124512722285,-3.8079187246644,-1.21594232013947
"92","BA.1 conv.","ba.1","Delta",-2.43034480109506,-3.8170295595914,-1.18907835208678
"93","BA.1 conv.","ba.1","BA.1",0,-0.295500593840904,0.286738803080056
"94","BA.1 conv.","ba.1","BA.2",-0.880630395556198,-1.42121378476012,-0.337190270718896
"95","BA.1 conv.","ba.1","BA.2.12.1",-1.9034266946064,-2.71341952708993,-1.09686385220969
"96","BA.1 conv.","ba.1","BA.5",-3.58104645526741,-5.25702680862517,-2.50026460737464
"97","BA.1 conv.","ba.1","BQ.1.1",-4.20667268072012,-8.07022647989451,-2.61524690043786
"98","BA.1 conv.","ba.1","XBB.1",-4.67521934341403,-10.5228298535543,-2.78269978211703
"99","BA.1 conv.","ba.1","XBB.1.5",-5.46384530551835,-18.3597580406628,-3.01249678780394
"100","BA.1 conv.","ba.1","XBC.1.6",-4.19639232245439,-7.50320985040032,-2.84808966579361
"101","BA.1 conv.","ba.1","FL.1.5.1",-4.64916388250265,-11.1204505299419,-2.71158700745047
"102","BA.1 conv.","ba.1","DV.7.1",-3.47509679483967,-5.7251166942794,-1.97042732559748
"103","BA.1 conv.","ba.1","HV.1",-6.06661871149169,-28.4902792447107,-3.77926657997479
"104","BA.1 conv.","ba.1","HK.3",-6.02150991367116,-27.6225774668632,-3.64367719676211
"105","BA.1 conv.","ba.1","BA.2.86",-11.0795150195814,-199.326490660353,-5.83127019974241
"106","BA.1 conv.","ba.1","EG.5.1",-5.41771935633235,-17.2258027732181,-3.11575144214073
"107","BA.1 conv.","ba.1","JN.1",-11.0795150195814,-200.295078868079,-7.05087334458882
"108","BA.1 conv.","ba.1","KP.2",-11.0795150195814,-198.011136331586,-6.46112602655333
"109","BA.1 conv.","ba.1","KP.3",-11.0795150195814,-200.50294947154,-7.33086317773548
