"","sr_group","ag_name","all_below_thresh","logtiter","lower","upper","titer"
"49","BA.2.12.1 conv.","BA.2",FALSE,2.03945001097698,-0.300198422847509,4.4011741884564,"41.1088784147017"
"50","BA.2.12.1 conv.","BA.2.12.1",FALSE,1.94279408451556,-0.411016795615061,4.31989185103627,"38.4449495063855"
"51","BA.2.12.1 conv.","BA.2.86",TRUE,-5.31852314562899,-198.344837970359,-0.109614902544955,"<20"
"52","BA.2.12.1 conv.","BA.5",FALSE,0.0513558786044893,-15.712264590488,4.8635208075153,"10.3623834742651"
"53","BA.2.12.1 conv.","BQ.1.1",TRUE,-5.31852314562899,-194.935876550516,-0.759257935610847,"<20"
"54","BA.2.12.1 conv.","Beta",FALSE,0.175535423773521,-15.3953225197725,5.60734464057765,"11.2938347227851"
"55","BA.2.12.1 conv.","CH.1.1",TRUE,-5.31852314562899,-197.800969043232,-0.787623503116212,"<20"
"56","BA.2.12.1 conv.","DV.7.1",TRUE,-5.31852314562899,-200.348979703409,-0.462766981176713,"<20"
"57","BA.2.12.1 conv.","Delta",FALSE,1.63486177465024,-4.56365084920041,5.44430782889293,"31.0557793873893"
"58","BA.2.12.1 conv.","EG.5.1",FALSE,0.109155494584097,-15.981046450916,5.21498693491504,"10.7859667726198"
"59","BA.2.12.1 conv.","FL.1.5.1",TRUE,-5.31852314562899,-198.508559905082,-0.408495602681828,"<20"
"60","BA.2.12.1 conv.","HK.3",TRUE,-5.31852314562899,-195.876461990774,-0.526335860770773,"<20"
"61","BA.2.12.1 conv.","HV.1",FALSE,0.700548686852345,-4.06424244184075,3.50319376857308,"16.2512274308725"
"62","BA.2.12.1 conv.","JN.1",TRUE,-5.31852314562899,-198.183231109139,-0.407573850963615,"<20"
"63","BA.2.12.1 conv.","KP.2",TRUE,-5.31852314562899,-199.575396716817,0.411895038606467,"<20"
"64","BA.2.12.1 conv.","KP.3",TRUE,-5.31852314562899,-200.277117561616,-0.418660617410499,"<20"
"65","BA.2.12.1 conv.","KZ.1.1.1",TRUE,-5.31852314562899,-197.624478517884,-0.610180274750697,"<20"
"66","BA.2.12.1 conv.","Wuhan",FALSE,0.259868072086651,-17.4407491381993,5.48369113140521,"11.9736920563321"
"67","BA.2.12.1 conv.","XBB.1",FALSE,0.415187192993963,-19.0676684045669,6.76775461210054,"13.3347168687975"
"68","BA.2.12.1 conv.","XBB.1.5",TRUE,-5.31852314562899,-201.578568318071,-0.733436102061102,"<20"
